Emotion,Title,link,redirectLink
Angry,Falling Down (1993),https://upload.wikimedia.org/wikipedia/en/2/22/Falling_Down_%281993_film%29_poster.jpg,https://www.primevideo.com/dp/amzn1.dv.gti.d2b93b90-d396-fbc6-8c55-7bf32a813446?autoplay=0&ref_=atv_cf_strg_wb
Angry,Thriller: A Cruel Picture (1973),https://upload.wikimedia.org/wikipedia/en/0/00/Theycallheroneeye.jpg,https://www.justwatch.com/us/movie/thriller-a-cruel-picture
Angry,Frozen (2013),"data:image/webp;base64,UklGRogOAABXRUJQVlA4IHwOAADwPwCdASqFAJsAPtlco00oJSMitPhsIQAbCWIAyfht7GeXSRnm2lvvuVVG1j9B69y7van2W+zeX+gC7wubv9jseh5HwA/um/FNUCvMWwrkv3kC3nJnoPTJCwIpS4ICYGEAmg7n3QnVMnBfdJ9mbc+WV/vBpioWP7Ek2A8H+7A3LlJvfUcbL5Cuwm3n/HkLKCo2klmsEBs2Qt7zELLRs88dpPreD7X//pZQtgAnUPIypY7pHpWM/xvU3ws7CBmYuK1C9PJebhFYTnzFtZaPaKh/tSFlfYQ/Bw6pLmpRAjIXUn/7n++ozqqBUV1BMeMEITDWlfhrnyQH9jsQvQcvyc7t0pB3vDOkhg0jwk2xZizSIGNb6nQcnX4me/Xa7Z/WKrRrQG94fVaw92F6cMjeUx5I5xT8U2HM4oqbrSdr/dwJZi2bNHOunuce///05D+6qz7XNnEibhKr6ReXebOX3jvZ9P2HUCnuKBvMK5YM9T8DJii+HxgOSIlTo70GlhwlYAbGREvst6tl80uCb1nm3nBBAxfkd2f9z0TWHbM6yOrd7l24eHWqiQhJ+c3PB9R+pZa7MhmKzCHGYM8VPClvGwmHKjy96Yx49yd8XjvcoS8oqmYEheOJyheaKussR9w8ARQb3j+naBWD5byJHgsxW51F/PsMmzWGYtYgXC2BcUUbdOLtTNI+o+YAAP4XTsW141W82r+tgz9LqR1FvQF6jH8FQ+q1l6lXWn8H+f+22wi3j3/BsVVAsAlA9Ip5jFKlOenAmv116eK1AUq0/KF52PkI9RnwzlzFvH9A4Jl3xEeBe1WpBXuIFC2tBVQP8gQ/5satvXbS9o86NWGH+keYn2+m2xB2DcbSJRrzjUDHVySrgY1IXOuFKHrODhH3bnuGITSQsI2rfYwNGeReekC/Oj0vH2zgHIzSzPNSnx9lvYQcgS/Y/XE9rYZD8Wf5aKVhq6xrQoCJf+7qpA8Ur5vj7Tg/q0BuqXy9IpGfEx5QqUmr4RcIuIeR6AM89D4eoyStVl6eIQN+5I2ys1R6p+vbX5KK7in78C8+riRnkcae1vFpp73s3CNMTbhxBcJu4s5lU+/Q5/+vfsgfuSagSDRR1wol+Qm7Z6s1AMQ24DdYGgyb7vZbBu6mpq3opTPli8uZGUULQaneKJKocbRtoyByFCVrNaTsXWjRj5kmRj5BPfv68Qn6h0L9erOgYwz9Y9lWN0g9hoxhMybgee9uxiv8/QMEgozRMXA0pXDhiMMQcwWgR0fAurA8Bk4SbyWF1ws9Tp/V/S+53yyeliPy0VubmzI8VXpzIBU4/VuwFgsyt490fSKimU+6tEmcm6ErJACtWQrihpRXsV12CgqFTzC/plQzki3mG4vNKA+OlckmQzwGhTEUOyr85r795X2JZ8GjGx22tuK+UegHQlC1IN4KxyHURJL2gwXOIrHbYwobduvl9GIFzMO2sRlaX1kPj7gBLACYkjItGa9+4dUNIugrp1yJrCXWPPmGjoEaEfM2gWfAUJK101uXY6ijl3Ide2N7az0qZ+wfNoaTa1NaZw1/VRYs33GgxhxZVKu/FPQO68dh0acllB9yzC9Wz05/mtV9viYj6E2dAydSACzkfnPdXgY0VzmZ1n0/5+Jz9BKRMEfDK4gUUBIPFPgLvPO05hMvmPJCsVoCQfITFvFHTMX9YDGhyf3pJ7wf8NFUYinRLyAKnUlPpvSfz2LU5WsJu8rY7c/5IT2n7Lacjk6BUl7WRNvljBUM47TvuavTYuZKi2gFSLjVwOxzhk3uehmnPI0jAPdf9DdPw7TSTfCf3gUUL4fuECdZ+b6gVPckqRLZ9R0R9+LG+Hcq2VjxaMnEZlbR0hjpfmDN5FrsMWp4HiuGsH6fyNmFN6jtNrx8hM/LmXvVvfGsyX2Ix6ICPfOGSKRpRaS/ynnAyf9T01//Yi/h21pdSpiH+7gV/SvcKSFn7jmLv4KikGEo3Eik1+cb3axjgCloqpJRwrRyWy0fEyhWvyHrmuh+Je+MENE2YtlBmK2YrYNrMH5XvSoEBz9IZ3czgJJ8UcCIL++0VZ0Fm+S4VEI+qZLF8s2flzic8zxjOy1gtBs0dF6sbmawKrFDmoMWBBXl9NFySARUP9CZhKKfIvW2xYWdQKKas6hEN0Z+5kaqSudXIi8Sx4G4btIRiY1v+aBDFTzn6FQ82KfEx8E51TBAZtl3qteLEZvM3b5cMmPhHGwCDehS5DwhAOnzWhuhqegTPgKwaFR/gpjGVYiKGIySCYk4+1fIzsneUZ+S8hZL2E1GPhV89itSd/MKGadp6b3UgL+M8fIEtdXgftxRq5jE3yNvNOMSwarn02TKA0Brg7HbMyjPnBsoW2evV9hBRKtdzJ5lldQBo9nNfc4jSJhaNNkFAe1TLBFtd6uY+AkmjOO+QtqnPNjLuREP9Qz1Cl3TO0aSoKpHcCUm7LzhHFTHyLM3bdh9QeIMkj32Y0gIYRqpCqRjSTz1yJRUY/Zl+Tn7rMponprpFmwr4IG+z2HKnxlg/QtuY/L+qyltvEy+54Lyw5BVIMXTKYOPEsSHeYCstIBEXagmn+L0+BQvDySxdqHKuWTtmuixVXioKgNTwQ5fmi5rGt3zsIN8TOs8m/pnKocQNjGkfzCq+SEvK4BXmapMBQExJJpAYFZRcuHo+vgD4VNzDMcU8MNcNi32VM7AQ/o2qrz2CFKBK2kd3Z2ayT5mRRhzaipV70XiHzXXGQgXjezEaVV+wif43G8TzF5rJccyAc3JYKyVPAR8vhya3dYsEakmZ7vNtXcVAtJN4QmBkmLtxnt5XQXtot9tNYBSJEd8YDIC7DE7KC6RokCzE8oDgI95mx1e12k1SnSbTPNXT5JSdIBToXVpqiPNdRXUVeXh5Uc7TTIsPSMVs9Vo2xngI50sZt+NnKh54bgkjbr7PpA2e8eAL8PDB23XFQMV/jHjeEMd08eurNrbk33MhuFUO+yrGrOsWFArlY05LHdTTLGjsgneJ08WroDAW08T3YI0c4oBw74/EOt9tKUEJjg5XDqJRhfpz5NIXbQZs6rK9SX7mXMahlOCyEtcxPLHbEK4Ha4ZNVu5PcanGSdowRLxicrVccSDLJTo8RoNvj/vC3zd2UNrewc/aEM6ArxBb5itMdzPmmrxVGEMWCGT210Mi1t15A+l3QM/ZTCTsG9lSX0VAasxzkv3xV4t24vsuPSsf9XIXHuGz4n8uObL8bMJ2exOjcv/oGm2v8djvAHErPTf9HF9MrveTp29RiMdRl3/NQq/qgT30Iq1Ot6yJ7PWUk3E4tU1vBEdD1ij4reu9O78WQlx/7URAQFsOL4vtxY7zZNiNzDS4fxeiApwycvdthOS3b0e53rSBEF1AAHpH+/293iokT7HRKHNztCFEkttqSBObblU1c2uujff1dKG1qPpKvBOM5SBSN/Pb9ehmS+zcLjGVzu4PSDxVHKjJCXPlpRRtmn0DA7WG+ajBsoLb3FPgsivve4hAHDMqwlfgD18vxGQga2gz2gdz/B1LO+iiq4MTT54BwzKJZPijQslhfVDjNT7549ZgzlKnKFdvuAtseP8W7zqdzr/TXCyKljeT3DXPQpiVRuxKj0tCFlVpcIhuxgFsxiFtPWKHXbaxqD8m6vz/FW9Ge4o+s2l78OHih9HllqRCxHEz9obPMn3hm/K5LQCAqrklcjKsf/XVRykGeh2juA7Hl8DSbP5HbGlRuYuTUD3z1VGEyt+UyC+t3PDgrru8u41eI3WPqAdhQ2ChyfooNPppDIzlQzfvXmwxRFy1eVQgj+8s33IdLTont/uXeBdluzbiSTuzcP8NJtexU5vMoM7MUy6Vbrel+YM5QCFLHIjUcf2JGO2an037Zjj9/fH+SuFa8tOt3ukuOZjSJ+XfR2G786JdMXw3aTkwBGEoZ1p5+k8rdbcpuoeHKEcYG9lTwhrtkora4tkvhJ993Cj3bZBw+jbt5mP5Yr73CbbwkHKfg+bhamIdN8aZ9o3E1RvruwVc4pAvWdrtmKJmJaK/iY5svkQJtHSWDBRo1itcfLj0DEq86szD9jmF/ucuCEGPYsANuv+ORZLgvf4HcqY5DQ3ZM0yGOTfm1T+vahNNNjRUfAUkAkwhjr6Q7/H/DLhf5FB2sUUHo1KQ59UoDkWViKezxAfg1Ec3zfp/aHDzKQKl5dxQ13XftvjOrc3Kl8938NmtoxoKOePVhcZMUCHIFi1ewcVDWUt6zwNICverTGWVi+bUozH6BbrEPa4FRNq3eveLjqW3KskpmuppEn3bK2w/tZAIj9WON/KKwwl9ZN7gXsGIf58/oDywG4ucPgJ+17i0Tc/AoirY0n8JmgWGvFKvqKGHWNzMGvnMKD9YWgLN8aIkWOmUKhpcLrPgCvZS9AsY6OGKMgTffNBX2cA/3YMhLFkPAtU36LZ8juJciNZSCAKTzjhoIXYWeTHtmp0siuGtkWBilZWAEdz0v157+Q0eFjCKIlRZpV4NMLdEkPgdjS/hCJ1PbIZk+Ozxc0FpaqumtIeEYBbvy6f1PuHvdEOnoy0VSigF0CzaaILSAjPsdYUfmw5IUg2+r17PxV6pRixnH+y5ciZe0BsmLxdfN/HVnQeqdhTki5Cn9IeVEUT7xnOgufYIVQn/ZGMKeoZvJBjqyXKhuayTTHDmsPxHTjIbdGvQIj6BznpNJir+eXJbeU/FYlNmPheVCDrac5eMu9F3EU1q+YdBHVoiwUMhWO4u/HTbCtdWzu9u9/96TyxdaWV0qtJTcTld1V9Wtix9mMK8Q2B4k4aZVvCeOoSU1y6fRoC844C8GhAHEXHSpVZTes5L77i+ZJHohI/Cx/pyy6SMWLyAcI/8yR0p94lOTRz1brdPQ3c9bSQfNmynvDEtFWwQJuvcWQ1gieHn7J1HphFgA6AAAAABox3mhsx9itlVY4pgihaACrCG/PtLZAAAAA=",https://www.hotstar.com/in/movies/frozen-singalong/1260032761?utm_source=gwa
Angry,Easy A,https://static01.nyt.com/images/2010/09/17/arts/17EASY-span/EASY-A-jumbo.jpg?quality=75&auto=webp,https://www.primevideo.com/dp/amzn1.dv.gti.78aef90b-3f06-776f-5024-63f83f929a38?autoplay=0&ref_=atv_cf_strg_wb
Angry,Ferris Bueller�s Day Off (1986),https://shatpod.com/movies/wp-content/uploads/Ferris-Buellers-Day-Off-1986-Movie-Poster.jpg,https://www.primevideo.com/dp/amzn1.dv.gti.82bba27f-a1a1-c784-b0aa-55f56037fdb6?autoplay=0&ref_=atv_cf_strg_wb
Disgust,The Green Infero,https://static01.nyt.com/images/2015/09/25/arts/25GREENINFERNO/25GREENINFERNO-jumbo.jpg?quality=75&auto=webp,https://www.primevideo.com/dp/amzn1.dv.gti.4c3869b7-ae98-4ee8-a3d1-dd5a0b31fc00?autoplay=0&ref_=atv_cf_strg_wb
Disgust,The Hundred-Foot Journey (2014),"data:image/webp;base64,UklGRuQNAABXRUJQVlA4INgNAAAwNwCdASq6AG0APsk0slknoienlhDwGQloAMcn1dE/0/5Ve1xdm/TIWtoeljcNeaDzWehd6p/ekbSZ0t8LfKyIHar9uE939l4GzCQYLLRk5cxegL4yel5699hPpjKzSL26TIid+9XvnIbW65VBl00TVUgwB00MNz+NyMfNDUmRIE4pw7FW8GnPyjgqSrBJHd+cNdtT0NfHhrEQIaJxBgcGTIvG7IcBcV56mbTXr2UFbLYs6ylhQPmbO7LJCv4F2k0KVfd57DVkwjklubRm3cl/583LBdb9aTVJ3u5Yh6FRBCddlAWKZX+cJV2B4WM1CNIpb+9y7GQO1jGXUaRQsih09+44DQXt6/cxWtq4kWeqmAfl04rzWKNqREga2gBPXYxts9gFe9N3l8Oa9/rfw8Ycjc4cSK3+GP6q6CL5efZRv3JWkFu0kN8u7ISkr/W0TuXgstJ44dGsJa9pXuV/ETaegjlmbyMpQe8Z4pEbTKaXlQNZ4s+zGjMfAqHtxot1PbnvItG2eRMFr7OevNMUqrZyb2I9jGBRnsHLeYvHDQpP6RCqXpuRVJeKko2iuVBrqKip1M/a/ZBGq/58H3Y7fuPvnngA/vD0Drh/+3MPrmH1zD8vv/+WFm9BnbH9n6grqHieUmEadfodRU/X7pcIXXRolJPYW2gz0pmdGWGoE5xpG/5uWEt75enb3v4iYzwK/XNHeWgFSvqIE7eH7qy6Jxz5x28Vo6rATWwFbJNxcocRfikIgAWSbxPtgm2FqdFv7abxl7DxiuJ72ZxREhveG2/Osi8Oj9BkM7swF/+HU/BPppX9DSpWJMoeIpxOB43dF0lczUYJfvetMwoyasKazW/Dxkj+76gTanxmdZsGz7yjHw5HtpO/qjGZeBdgbUPVynO0tuozHdAUjixQlB2TC7SA7GDSPWlkuUZq+oF6TBXLjKIWTSX9leFpT+jsz/p32qKV25kUszde6a9kIlVZxop94rW/vAkU+MPgIdtriZczB+sJVYY1HfxA9pzEEgTBPriNIdWvHsK79rmqcGaUMUwJRl0puXTT9jk9Uhl+F6hYk6RLTdakuTf/0xQrEIQLM66OeNIY2AtM8aXK0D5bkravfJ3znn6VTSkBX8ERfBe4YDdmVKgZEkQvrsIPnzLn2NA80S2TsL7/+vPd5kh1T9/d1KAIyXl5Y3/Fhti60Urns6mf+SJ9qHSURdZFQWcSJjcPf5v3VQY97xrVDN5MUqVZ1c70dJykNsNsfNd/resSiB6fDhkneILC3fIyzbaHrNxx/83jgtMqOpCoaOtjkWlFDoubi1dvloo6muccOp9U9eWqG570WRekNnD6918vdVuKMbjkDIfpvju2NWt+DaBF+TzLjmuWb2AkVTB+OvyZnbjZr0lBzgqMgzvEG5EtFIjv/I+mu2KV7+2EHItumV5u4/t7tSKSFc8/BBGPqnWxFfuXxMSR7urV3fFXr3g6uDWTRz6/RwRX7+dH59XMtmmeAkwoWYIqXa61nVyuogFcK9djf6VVIQlqPT/es9z+TGAALyrPV3XJHL7TjcvlFDwpjZwM2j7hYhjJwZHX4lPtOZyBgDL7bvA/7fooZB46Hjasc0ZRisZKz3gtJ1vSsAUrUnUCu0XE+3mNzkd97qTtcPi+0ldVQj5bDsRIblr1ewVbWe3wJZiq2TU7XFYwMQ970sOhIWpgf8DSOJMfLFjyhunL2vaEWJhxgRNa6ZTH0WWNS+z6zRJplEZ+h1RBDAcoTZ+i3b+7YPOXL8OG98eHokeoiVuk2xtqsCCvsM4tXtGvm+UXjCHTvM3YAsRBsX+fCw7mlocKISjL7xHzScgNTHdqFm6mL2CjuspwLrqx9XpM45MPCOdPb5NSpMzC5ZGSXQQP6tfXkTY2ygPqPNQZNXv7sRlBiR7ZQ77XiMUrxGcjRNjFzOA0Ux//HHI2v4AyYXEZ9WXZyY1NcVN1WhziRBBhl7kmFnEvgTDRxNs5cAGWvv3veGcT+2sAd6j0et7X3j4cQ0Klezfh2QDMhOFi6q9BKE0QUg/EaFnavpgTkTXeJ/KmekuSaAW44R0UxbvLuCU+Gk/jArSGOWRflf6DjCPjhZQLlU508LVXu5vFbSPjKnA83inHKjSrStTTX0v5j0OEtH01FFZHn/UrVLV+2gkhMwPkfueGuF01qn5myk0mgH4INnkKidGpcr8At+tG7lJyU2ZUzJtTZngwqG14CNLEWyifWhGQ1gq1+lN2k0YnooVbB8/Bb0mIXibrWLhQY2WbAUA4iDoQb5mXdN42vP/yeYwaYRUG+vK5AjisScrptQ61M6yEA8mleFHrrivvnrlJmpDtkGn0U2zEIgd/a1wNa3dMVKhSu7nm0LYJ9mEMOfCJn5S5AzQ+VdoUCzWhtY/N3fsiTLIlLbM/9MoWA/PEsZVjR1VscF+3tl5eI68E5quRLC+epWfZpXxi9DWNk9VbvPl38D+YbpwgRmiIA5EfiaRg4BRJu3s1a2pf1f8ZmdQK9lRnL0T6CwBBs7uvHEnAUBLOHEGKA8qqTQqEhecCn7/H8Wr6hSz2I5l9++pzD/P+yt1wX8Ql4np6hPQ0+dAch1LDsai0obFgs6dKUdn54Jzt7LfBBMkSgk+n7f4aQ5NJp660KSH5fUA5zgAzhx4ninlQaBEgXMtmrghpx6ug1+Adq4jo9famWxX1EbJHM6qoWlbH5j7b8WybA8DFOfPjgTDItdQdxFP3q7z7i7ysxs/xMqBhJL5Qg9AkWhkNX41yCtLpQyXKkicAmilb5nzlt9tw7fTuVjG2ciIw/qe2zW4yZ8r+4CIMZqZH2pmBelqoA9FgSd1FaLTlCpVhqFLM21HMeY6RARtGMhPPCI/ckje4OHidp8bbmzRFb7EvwmQDLm4pGlAsDgrTve/7Pyr5WAOBCDNg0xGHeIxBzws38NDGKlba4WxGdViUxnT1H70neTIAicyZS3jspRznQmaY5Shc074rsYRbDI+6sWORs3NGSN3zMWHsWYYtJfj4jpXfS1ar1dntk9pWFPX6sINHgNUpSYLRuQB2kShtsR+b6EJGUMqJWWhau5KzFg93eZaa79BWaPy45sywiTeJmvydc3Fp2SQiKoGldCNyGsFJyDekQmRURH526NbcW5HQ5iPifYYxW5jHEPyz0cAtDVekX2TrHaGIczBpW42oC6sKcChu8kX1bMg9my1LBuCLgq8rAZuTOQgRGDf4YDTUyxRToR5Rqx76TQmuiGpX8xpPQeH/8b4zMXQbwewKUCaQkwaxn8Rb5ivv/RfFf7e+BfXKtmFZi6ou9/1yukLzWg4aBCGCi+ZX/u+8pZoyLsgtNm7FU+D6xtu7h6J+6rExZRG3e0jWblgBrDIWQw9akFzrQDefz8EEF9f9fYRsnRe9o+f1RdSle/6JagpVEjt5mBU+ehGKDUFdlBbaNuAd5BoSe/euLZ9z06vbLijkiaGryymF9AwKJ/ZCKOh8ohCdRPiRckVfXtdaWUb4nOcf/PUu1AJ8OmZlMxhlaDxcTyRNCS78cecUBchvu0gQLxTjGJC3aX5Ohdv0rMcaAVip/+w+XZkKRiNHfrmjHhgImyNjs4Ngd0tY1xim24AdFcNZiONhVIyJmEAG3Yk4UfbL/I/fCc0NYsEWps0AgfNj+LBxfVix3Uvy6abMV0xWqkIVr89IzgiXFJLWFzM431o2SSAwiyB26V9NM1XBGST0YV+u/ESj6kqThHGmL9danJUoQc0oNQ1lXb5oyYSAMPet1hNHZdoSQzlvbnB77H3X0/aPPQGNQ5HuXWvYKtgP+02PN2zVtPX9T8dfGpd9zr051bTg564k86IkU3jfWmuF6YQZPNCXa/J+zRe3oPSsr8I+52+NiCBQ63P2cw1XksaebHY2ehZ89eEhrsVQhXZt6QY7HXmk0Qfi+34u4hbPQs4hfgMxhwA8mRJxRsrs7rBRJjOkVTeeL/5lc64nvyQ09E/eKGws+I+MhpAsC1dQJfDMwLtoiBEVGwuq3ESAg5AKcQxPk9ON0T0qBPKljrl7s7fpuADLBtP57RjH+ge6Ioo/rRk7fNOjZ8OYhPNzJJaTwxp97X1B5gTEoEId0BBS91WZCxtQVx4veEGH1dX0SSWyXlfxI6dHU7gYDmN4huHGDl8TwztBQF8qPVjm599Zu2VpCcLJvTkDg6QaFPWqjdZdck+SvtbdX49c8ZCu1PKXtIiGEPJj/bZ0S6nDs9XXCeW5B+P/zo3ctZuiiP20ae8aNc02Eq619B2oH0y+Id9f/6sGw44pfgoudMw9HrY0SbovvLzZNC/5Q0wFSVNS8E0siyKF9ZODxy+k63AImsXoxm3csrvGMGuDgRCUvUO7gawNJC+EXel6b8OVu5lyscDwtHZRz79G3Az3mugoUTNYBuOr+xZzHn8Cg61xU1McO03+kzKL/NabfL38Uq2brTdFqZ3wqGrg8kkVXU30mjeJcQO4g6B+Cg0ltpre+xcH5/F7GkJ3qdeFJVQ1oDl4dUi4PbrOo9wR44vhHUQnS8J5l09VDq7jNTt/ynAbDuHklSuRvv0jjiI2B6mXgHjKAqocLSh8QXX/P3WTzLlh+co95mfJbVs/ADpHE/Ys0DxpndwSb9+JeFZbNXrKEKvCZv40kZrsf2w9QSWdge9rgo+z51ckCu0mvEk3IoYtHBWJ1czBlx/HyF1+UHP37LxjvSnBUoF7P/3eq6i8fQbOiGQL69IgwRJVlfgA",https://www.sonyliv.com/movies/the-hundred-foot-journey-1000050178?utm_source=Google&utm_medium=WatchNow&utm_campaign=1000050178
Disgust,Faces of Death,https://www.hollywoodreporter.com/wp-content/uploads/2021/05/Isa-Mazzei-Faces-of-Death-and-Daniel-Goldhaber-Publicity-Split-H-2021.jpg?w=1296&h=730&crop=1&resize=681%2C383,https://www.primevideo.com/detail/Faces-of-Death/0TN23X0K0L5M2Y4XJ76P9E8M0O
Disgust,Groundhog Day (1993),https://shatpod.com/movies/wp-content/uploads/Groundhog-Day-1993-Movie-Poster.jpg,https://www.primevideo.com/dp/amzn1.dv.gti.c6b4d86f-b84e-6e80-d87c-c01cbd4ad545?autoplay=0&ref_=atv_cf_strg_wb
Disgust,Paddington 2 (2017),https://upload.wikimedia.org/wikipedia/en/b/b6/Paddington_2_poster.jpg,https://www.primevideo.com/detail/Paddington-2/0U45NAAF0H2WFEES8XHG24K313
