Emotion,Title,link,redirectLink
Angry,Break Stuff,https://i.ytimg.com/vi/ZpUYjpKg9KY/maxresdefault.jpg,https://www.youtube.com/watch?v=ZpUYjpKg9KY
Angry,Killing in the Name,https://i.ytimg.com/vi/bWXazVhlyxQ/sddefault.jpg,https://www.youtube.com/watch?v=bWXazVhlyxQ
Angry,Down with the Sickness,https://i.ytimg.com/vi/09LTT0xwdfw/hqdefault.jpg,https://www.youtube.com/watch?v=09LTT0xwdfw
Angry,Sabotage,https://i.ytimg.com/vi/DG6D_KrdABo/maxresdefault.jpg,https://www.youtube.com/watch?v=z5rRZdiu1UE
Angry,Bodies,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSpuyBmffc75LJU4zStLVuBpCeSpTAVUYKZCQ&s,https://www.youtube.com/watch?v=04F4xlWSFh0
Disgust,Closer,https://i.ytimg.com/vi/0zGcUoRlhmw/sddefault.jpg,https://www.youtube.com/watch?v=0zGcUoRlhmw
Disgust,I Put a Spell on You,https://i.ytimg.com/vi/3TrSMaOZm3Y/maxresdefault.jpg,https://www.youtube.com/watch?v=3TrSMaOZm3Y
Disgust,Cannibal,https://i.ytimg.com/vi/48wHhW_dTMo/maxresdefault.jpg,https://www.youtube.com/watch?v=48wHhW_dTMo
Disgust,Freak on a Leash,https://i.ytimg.com/vi/jRGrNDV2mKc/maxresdefault.jpg,https://www.youtube.com/watch?v=jRGrNDV2mKc
Disgust,Folsom Prison Blues,https://i.ytimg.com/vi/AeZRYhLDLeU/maxresdefault.jpg,https://www.youtube.com/watch?v=AeZRYhLDLeU
Fear,Thriller,https://i.ytimg.com/vi/sOnqjkJTMaA/sddefault.jpg,https://www.youtube.com/watch?v=sOnqjkJTMaA
Fear,Eyes on Fire,https://i.ytimg.com/vi/LAxCqlU-OAo/hqdefault.jpg?sqp=-oaymwEmCOADEOgC8quKqQMa8AEB-AHOBYACsAOKAgwIABABGGMgYyhjMA8=&rs=AOn4CLAjg76I89i9Z96he22cGySaa6pgrQ,https://www.youtube.com/watch?v=LAxCqlU-OAo
Fear,Highway to Hell,https://i.ytimg.com/vi/l482T0yNkeo/maxresdefault.jpg,https://www.youtube.com/watch?v=l482T0yNkeo
Fear,Somebody's Watching Me,https://i.ytimg.com/vi/7YvAYIJSSZY/hqdefault.jpg,https://www.youtube.com/watch?v=7YvAYIJSSZY
Fear,Disturbia,https://i.ytimg.com/vi/E1mU6h4Xdxc/sddefault.jpg,https://www.youtube.com/watch?v=E1mU6h4Xdxc
Happy,Happy,https://i.ytimg.com/vi/y6Sxv-sUYtM/maxresdefault.jpg,https://www.youtube.com/watch?v=y6Sxv-sUYtM
Happy,"Don't Worry, Be Happy",https://i.ytimg.com/vi/d-diB65scQU/maxresdefault.jpg,https://www.youtube.com/watch?v=d-diB65scQU
Happy,Walking on Sunshine,https://i.ytimg.com/vi/iPUmE-tne5U/hqdefault.jpg,https://www.youtube.com/watch?v=iPUmE-tne5U
Happy,Uptown Funk,https://i.ytimg.com/vi/OPf0YbXqDm0/maxresdefault.jpg,https://www.youtube.com/watch?v=OPf0YbXqDm0
Happy,Can't Stop the Feeling,https://i.ytimg.com/vi/ru0K8uYEZWw/maxresdefault.jpg,https://www.youtube.com/watch?v=ru0K8uYEZWw
Neutral,Instrumental #1,https://singersroom.com/wp-content/uploads/2024/01/15-Best-Instrumental-Music-Songs-of-All-Time.jpg,https://www.youtube.com/watch?v=zUTWSL_uSuE
Neutral,Chill Beats,https://i.scdn.co/image/ab67616d00001e02f1c423ef2a1e279a62aae947,https://www.youtube.com/watch?v=8U2nWfjoX8k
Neutral,Ambient Dream,https://source.boomplaymusic.com/group10/M00/07/14/ceab0e5ad2e144bfb252f84cb8609794_320_320.jpg,https://www.youtube.com/watch?v=QhahZTh6Qow
Neutral,White Noise,https://i.ytimg.com/vi/TkRKJntnuZI/sddefault.jpg,https://www.youtube.com/watch?app=desktop&v=TkRKJntnuZI
Neutral,Calm Waters,https://source.boomplaymusic.com/group10/M00/01/09/3b58fe48be07403fbf1fba53e135a30f_320_320.jpg,https://www.youtube.com/watch?v=xo1ru1PFv1s
Sad,Hurt,https://i.ytimg.com/vi/1ch2J23m5DM/maxresdefault.jpg,https://www.youtube.com/watch?app=desktop&v=1ch2J23m5DM
Sad,Tears in Heaven,https://i.ytimg.com/vi/JxPj3GAYYZ0/mqdefault.jpg,https://www.youtube.com/watch?v=JxPj3GAYYZ0
Sad,Mad World,https://i.ytimg.com/vi/u1ZvPSpLxCg/maxresdefault.jpg,https://www.youtube.com/watch?v=u1ZvPSpLxCg
Sad,Yesterday,https://i.ytimg.com/vi/wXTJBr9tt8Q/maxresdefault.jpg,https://www.youtube.com/watch?v=wXTJBr9tt8Q
